Zip,Lat,Lon,AccessibilityMetric
6213GK,50.835355,5.662009,0.07578038957756211
6213GL,50.837274,5.661099,0.08798551428808447
6213GM,50.836817,5.659138,0.0810544725593992
6213GP,50.836428,5.657775,0.07624055732268303
6213GR,50.835103,5.660201,0.07145603487740677
6213GS,50.834668,5.660323,0.06883456046094011
6213GV,50.835746,5.66426,0.08232048578937133
6213GW,50.834667,5.661572,0.07046935939582152
6213GX,50.836027,5.65971,0.07676950999536777
6213GZ,50.835957,5.659284,0.07563601064059192
6213HD,50.833181,5.66154,0.06100028246381434
6213HE,50.834269,5.656484,0.06176258946573022
6213HG,50.83283,5.658796,0.056353019403847945
6213HH,50.833544,5.657199,0.05863329314385889
6213HK,50.834875,5.653879,0.061804712337235425
6213HL,50.834465,5.654147,0.060012483339201964
6213HN,50.834271,5.653012,0.057751302056682406
6213HP,50.834195,5.652037,0.0562929998375797
6213HR,50.833931,5.6527,0.055785661531544704
6213HS,50.833636,5.651902,0.05358727351015387
6213HT,50.83372,5.651436,0.05347855271093532
6213HV,50.833696,5.653635,0.055659208436186755
6213HW,50.833651,5.653082,0.05487316917036739
6213HX,50.833253,5.652015,0.05198901130230686
6213HZ,50.833325,5.650743,0.051054754144758484
6213JA,50.832771,5.655793,0.053295686797745837
6213JB,50.831799,5.658196,0.0504879420022227
6213JC,50.833236,5.655657,0.05546716388132578
6213JD,50.832124,5.65849,0.05236221284004013
6213JG,50.833116,5.653839,0.05312050346916515
6213JH,50.832811,5.654049,0.05189762198310079
6213JK,50.832334,5.653967,0.04964833121075566
6213JL,50.83257,5.653863,0.050626369554115966
6213JN,50.832202,5.65462,0.04959263726831562
6213JP,50.831885,5.654647,0.048180545275541435
6213JR,50.831536,5.655916,0.04755075634934517
6213JS,50.831514,5.657739,0.04875432605946465
6213JT,50.831288,5.655666,0.04625373898199885
6213JV,50.831121,5.657602,0.04679000718418996
6213JW,50.831969,5.655142,0.048947636755674276
6213JX,50.832137,5.656213,0.0505886766859764
6213JZ,50.831999,5.656498,0.050156119802521895
6213KA,50.831579,5.657096,0.04860425251397366
6213KB,50.831844,5.657106,0.04988222394180333
6213KD,50.831949,5.653186,0.04731989447419919
6213KE,50.831329,5.65392,0.04521861510351406
6213KG,50.832473,5.653242,0.049653058716993985
6213NA,50.834764,5.674017,0.09024840416964731
6213NB,50.823311,5.668299,0.017640142518109907
6213NC,50.834022,5.671056,0.07838573732722835
6213NE,50.833425,5.66762,0.06914697358835008
6214AA,50.849021,5.675458,0.33398567303606935
6214AB,50.849007,5.677515,0.37646550548696317
6214AC,50.849056,5.677386,0.37399337261429855
6214AD,50.848267,5.678148,0.38258654199196557
6214AE,50.846968,5.679172,0.38334820098674605
6214AG,50.845388,5.680399,0.36689350734368115
6214AH,50.846833,5.678809,0.3719947640903232
6214AJ,50.847748,5.678017,0.3716373040385807
6214AK,50.847496,5.677898,0.3647244076594588
6214AL,50.847724,5.676828,0.3457688671970458
6214AM,50.848231,5.677115,0.35882852096317414
6214AN,50.848783,5.67588,0.3398780359583653
6214AP,50.847147,5.677504,0.3501204278650439
6214AR,50.84707,5.677099,0.340562602436577
6214AS,50.846341,5.6776,0.3360819970179754
6214AT,50.846785,5.678158,0.3567788828078911
6214AV,50.846329,5.676776,0.3206458018374693
6214AW,50.845914,5.679317,0.3600399843984363
6214AX,50.844917,5.679152,0.3290503542564671
6214AZ,50.845854,5.678869,0.3493538561873169
6214BA,50.844363,5.679048,0.3116129882458344
6214BB,50.844323,5.679433,0.31650885065890594
6214BC,50.843723,5.676888,0.26501572672417256
6214BD,50.843029,5.674062,0.21874918334525412
6214BE,50.841608,5.668779,0.15726837734244706
6214BG,50.843571,5.674941,0.23848270970252425
6214BH,50.844814,5.680699,0.3540021080947954
6214DA,50.848831,5.673515,0.29947920824748947
6214PA,50.848122,5.672945,0.28438257521197274
6214PB,50.848501,5.672772,0.2855964511580908
6214PC,50.848244,5.675944,0.33529614077977776
6214PD,50.848393,5.674536,0.3117325777019627
6214PE,50.848347,5.675311,0.3247104482633712
6214PG,50.847877,5.673928,0.2963651610639232
6214PH,50.846831,5.671943,0.2562702367926776
6214PJ,50.845866,5.670796,0.23064766542464427
6214PK,50.847789,5.675877,0.3282737136686291
6214PL,50.847209,5.674214,0.2925351640589102
6214PM,50.84789,5.675656,0.32553402438769463
6214PN,50.847404,5.674092,0.29320800952261694
6214PP,50.847139,5.675944,0.32006404628502416
6214PR,50.846707,5.674654,0.29209756806253057
6214PS,50.847356,5.676015,0.3246628485657147
6214PT,50.846882,5.674464,0.2917990882580555
6214PV,50.846676,5.676488,0.3220344704005733
6214PW,50.84633,5.675543,0.29989491241796695
6214PX,50.84684,5.676399,0.32332022294674584
6214PZ,50.84636,5.674944,0.29100909590088553
6214RB,50.846055,5.675259,0.29057505306833725
6214RC,50.844923,5.67612,0.2812867606738367
6214RE,50.844854,5.675912,0.27691110689711074
6214RG,50.844075,5.676606,0.2694482356374873
6214RH,50.844206,5.676504,0.27104319033159574
6214RJ,50.847831,5.675224,0.3170887763775833
6214RK,50.845856,5.676478,0.3061035708314998
6214RL,50.84441,5.677422,0.2884843692943964
6214RM,50.847637,5.675019,0.3110959997066549
6214RN,50.846457,5.675911,0.3081883284287416
