Zip,Lat,Lon
6214PH,50.846831,5.671943
6214PJ,50.845866,5.670796
6214PK,50.847789,5.675877
6214PL,50.847209,5.674214
6214PM,50.84789,5.675656
6214PN,50.847404,5.674092
6214PP,50.847139,5.675944
6214PR,50.846707,5.674654
6214PS,50.847356,5.676015
6214PT,50.846882,5.674464
6214PV,50.846676,5.676488
6214PW,50.84633,5.675543
6214PX,50.84684,5.676399
6214PZ,50.84636,5.674944
6214RB,50.846055,5.675259
6214RC,50.844923,5.67612
6214RE,50.844854,5.675912
6214RG,50.844075,5.676606
6214RH,50.844206,5.676504
6214RJ,50.847831,5.675224
6214RK,50.845856,5.676478
6214RL,50.84441,5.677422
6214RM,50.847637,5.675019
6214RN,50.846457,5.675911
6214RP,50.845048,5.676645
6214RR,50.844318,5.677209
6214RS,50.845408,5.677581
6214RT,50.845582,5.677572
6214RV,50.845795,5.67703
6214RW,50.845975,5.677607
6214RX,50.846102,5.678367
6214RZ,50.845381,5.678541
6214SC,50.84466,5.678093
6214SE,50.844262,5.678115
6214SG,50.844902,5.677796
6214SH,50.844481,5.67627
6214SJ,50.845062,5.677683
6214SK,50.844605,5.676067
6214SL,50.846841,5.67363
6214SM,50.844731,5.675295
6214SN,50.844043,5.675806
6214SP,50.847279,5.672898
6214SR,50.846413,5.673545
6214ST,50.845289,5.674447
6214SV,50.844244,5.675255
6214SW,50.844422,5.674264
6214SX,50.844977,5.674189
6214SZ,50.844859,5.673923
6214TB,50.845387,5.673828
6214TC,50.846251,5.673092
6214TD,50.84614,5.672903
6214TE,50.845694,5.673538
6214TG,50.84598,5.672573
6214TH,50.844973,5.673353
6214TJ,50.845569,5.672338
6214TK,50.846097,5.672176
6214TL,50.846841,5.672545
6214TM,50.846126,5.671732
6214TN,50.845421,5.671682
6214TP,50.845319,5.671254
6214TR,50.845163,5.670976
6214TS,50.844377,5.670522
6214TT,50.844574,5.67174
6214TV,50.84372,5.672417
6214TW,50.843526,5.67175
6214TX,50.843375,5.671028
6214TZ,50.844944,5.670313
6214VG,50.843516,5.674234
6214VH,50.844081,5.674839
6214VJ,50.844348,5.672547
6214VK,50.843381,5.672252
6214VL,50.843099,5.671585
6214VM,50.842999,5.672071
6214VN,50.844172,5.670282
6214VS,50.844531,5.666938
6214VT,50.844693,5.666322
6214VV,50.8437,5.664138
6214VW,50.843708,5.665391
6214VX,50.843951,5.665764
6214VZ,50.843835,5.665301
6214XA,50.84191,5.667111
6214XC,50.843853,5.666624
6214XG,50.843812,5.668068
6214XH,50.843796,5.668834
6214XJ,50.843208,5.666996
6214XK,50.842632,5.666135
6214XL,50.842377,5.667427
6214XM,50.842186,5.669683
6214XN,50.842499,5.669356
6214XP,50.842344,5.668221
6214XX,50.84163,5.6677
6214XZ,50.842247,5.665503
6215AC,50.837904,5.659468
6215AD,50.835968,5.654848
6215AE,50.834585,5.651324
6215AG,50.835675,5.65176
6215AH,50.835941,5.653103
6215AJ,50.836289,5.652197
6215AK,50.837318,5.656452
6215BA,50.839659,5.649855
6215BB,50.839571,5.650082
6215BC,50.83947,5.650339
6215BD,50.83932,5.650763
6215BE,50.839211,5.651052
6215BG,50.839056,5.65144
6215BH,50.838939,5.651749
6215BJ,50.83883,5.652034
6215BK,50.8392,5.649114
6215BL,50.839212,5.649108
6215BM,50.83924,5.649137
6215BN,50.839222,5.64912
6215BP,50.839131,5.650064
6215BR,50.839202,5.648526
6215BS,50.838752,5.64872
6215BT,50.841634,5.644541
6215BV,50.83992,5.6467
6215BW,50.841212,5.644281
6215BX,50.840281,5.646437
6215EA,50.842521,5.642968
6215EB,50.842912,5.643626
6215EC,50.842485,5.645719
6215ED,50.842668,5.645839
6215EE,50.843075,5.644949
